SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, -0.0000, 0, 0.01027637, -0.99303466, 0.15438870, -1.40232539, -0.64373690, 0.24142286, 0.58897257, -39.06915283, 11.50671196, 23.62137985, 7.29579973, -65.19821167, 0.81593859, -0.20563702, 0.05758204, 0.53725415, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, -0.0000, 0, -0.02728186, -1.00489771, 0.06454296, -0.28542680, -0.29112974, 0.22851582, -34.69640350, -65.98284912, 8.33524990, 90.79782867, -0.80895966, -149.30999756, -0.19065771, 0.18363573, -0.68792379, -0.67578733, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 1, -0.02909414, -1.00448132, 0.06445130, -0.31231180, -0.34955257, 0.31109411, -34.48834229, -66.29976654, 8.01432323, 90.79491425, -0.86528653, -149.31381226, -0.19097671, 0.18327449, -0.68800163, -0.67571610, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0200, 1, 0.01133715, -0.99367243, 0.15407175, -1.65741038, -0.61014730, 0.20134181, 0.32169288, -39.32736206, 10.94433403, 23.58813095, 7.29478550, -65.21539307, 0.81591910, -0.20538712, 0.05746433, 0.53739202, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 2, -0.02829575, -1.00409126, 0.06516241, -0.26817903, -0.21332404, 0.40919265, -34.28029251, -66.61667633, 7.83926630, 90.79142761, -0.87377065, -149.31842041, -0.19100578, 0.18319067, -0.68800175, -0.67573047, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0400, 2, 0.00931033, -0.99326652, 0.15523341, -1.36276460, -0.68785125, 0.38051763, 0.64836782, -39.32736206, 10.97741604, 23.56019020, 7.29060602, -65.23231506, 0.81589568, -0.20516087, 0.05739386, 0.53752148, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 3, -0.02803570, -1.00534725, 0.06453001, -0.31929880, -0.25217512, 0.42789873, -34.60723877, -66.61667633, 8.16020012, 90.78534698, -0.88298064, -149.32426453, -0.19103608, 0.18309091, -0.68798977, -0.67576110, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0600, 3, 0.01258470, -0.99481434, 0.15316442, -1.45069981, -0.57049483, 0.42804697, 0.44048342, -40.46346664, 11.01049328, 23.56736565, 7.29080343, -65.26254272, 0.81574076, -0.20519769, 0.05748020, 0.53773326, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0800, 4, 0.01376496, -0.99437714, 0.15148307, -1.47647095, -0.77165914, 0.54312807, 0.64836782, -39.50810623, 10.58043957, 23.53675652, 7.28307581, -65.28340912, 0.81570852, -0.20493454, 0.05742983, 0.53788781, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 4, -0.02756176, -1.00628781, 0.06369305, -0.37989995, -0.60267752, 0.41075611, -34.66668320, -66.61667633, 8.39360237, 90.78028107, -0.91837305, -149.33457947, -0.19119492, 0.18281087, -0.68803203, -0.67574894, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1000, 5, 0.00997600, -0.99409217, 0.15026389, -1.46615410, -1.03644562, 0.65680104, 1.06413662, -39.24990082, 11.44055176, 23.53106117, 7.27405214, -65.31729889, 0.81557232, -0.20483634, 0.05752901, 0.53812104, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 5, -0.02826132, -1.00478947, 0.06311709, -0.03814687, -0.53511065, 0.46459943, -34.31001282, -66.27095032, 8.07267570, 90.78060150, -0.92747712, -149.34687805, -0.19117640, 0.18268374, -0.68806785, -0.67575216, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 6, -0.02999730, -1.00443602, 0.06402064, -0.13495679, -0.48618087, 0.49078882, -34.42890549, -65.98284912, 7.95597076, 90.77947235, -0.97236025, -149.35362244, -0.19140670, 0.18237543, -0.68814242, -0.67569429, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1200, 6, 0.00736141, -0.99318546, 0.15187113, -1.36517060, -1.65378046, 0.58226746, 0.35138953, -40.46346664, 11.20898151, 23.50295448, 7.26873827, -65.35411835, 0.81545711, -0.20459387, 0.05750123, 0.53839082, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
